Year,British Columbia,Alberta,Saskatchewan,Manitoba,Ontario,Québec,New Brunswick,Prince Edward Island,Nova Scotia,Interprovincial,Total
1901,13,,,7,62,29,7,,11,1,129
1902,16,1,,11,79,30,18,2,13,,170
1903,30,7,,8,115,39,18,,13,1,230
1904,4,2,,8,64,35,12,1,17,2,143
1905,15,3,1,13,45,23,13,2,18,1,133
1906,20,15,1,10,78,33,13,,18,,188
1907,22,12,3,12,98,46,21,,15,1,229
1908,7,4,6,1,35,26,11,,6,1,96
1909,12,11,4,9,45,16,7,,13,,117
1910,15,12,6,16,64,26,6,,9,2,154
1911,17,16,2,10,71,30,14,,7,1,167
1912,22,23,19,13,100,32,21,1,9,2,240
1913,25,15,10,6,114,31,20,,12,1,233
1914,14,8,4,5,44,15,3,,5,1,98
1915,13,8,3,7,31,14,3,,7,,86
1916,21,8,8,16,75,28,6,,5,1,167
1917,55,24,6,18,68,31,5,2,8,3,217
1918,46,53,10,20,112,28,11,,18,7,298
1919,73,29,13,16,158,100,19,,19,1,427
1920,124,39,4,5,152,79,15,1,39,1,458
1921,37,11,11,10,79,29,13,1,13,3,204
1922,15,29,3,6,34,19,3,1,9,,119
1923,8,16,2,1,27,25,2,,17,,98
1924,9,10,1,1,18,25,1,,9,2,74
1925,15,19,,4,29,24,,,4,1,95
1926,16,3,1,4,27,17,4,1,11,1,84
1927,9,5,3,2,25,13,1,1,16,,75
1928,10,11,2,4,55,12,,,12,1,106
1929,15,4,1,5,47,16,1,,13,1,102
1930,8,5,2,,24,13,4,,18,,74
1931,19,9,6,8,27,17,2,,4,1,92
1932,22,20,9,6,40,23,,,11,,131
1933,18,11,,21,55,26,5,,10,,146
1934,23,10,1,11,109,39,6,1,22,1,222
1935,33,13,,19,59,15,1,2,11,1,153
1936,17,15,2,13,103,21,,1,13,1,185
1937,28,18,5,11,166,51,11,,50,,340
1938,11,13,3,10,77,19,5,1,31,1,170
1939,5,10,4,6,44,21,7,2,49,,148
1940,8,8,,5,61,24,5,2,79,1,192
1941,14,10,,2,127,44,18,1,49,1,265
1942,52,20,3,9,103,154,9,1,58,,409
1943,29,43,4,9,109,114,23,1,102,2,434
1944,15,21,1,4,70,48,11,,47,,217
1945,14,20,3,12,74,43,10,,35,1,211
1946,20,24,4,6,84,46,10,,43,5,237
1947,29,14,9,10,117,53,12,2,25,3,271
1948,12,6,9,4,78,34,8,,17,4,168
1949,17,8,6,5,68,24,2,,9,2,139
1950,25,12,4,3,93,35,4,,7,2,183
