Province,Latitude,Longitude,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
British Columbia,54.790277,-124.557003,13,16,30,4,15,20,22,7,12,15,17,22,25,14,13,21,55,46,73,124,37,15,8,9,15,16,9,10,15,8,19,22,18,23,33,17,28,11,5,8,14,52,29,15,14,20,29,12,17,25
Alberta,55.44167,-114.446928,0,1,7,2,3,15,12,4,11,12,16,23,15,8,8,8,24,53,29,39,11,29,16,10,19,3,5,11,4,5,9,20,11,10,13,15,18,13,10,8,10,20,43,21,20,24,14,6,8,12
Saskatchewan,54.499056,-105.950672,0,0,0,0,1,1,3,6,4,6,2,19,10,4,3,8,6,10,13,4,11,3,2,1,0,1,3,2,1,2,6,9,0,1,0,2,5,3,4,0,0,3,4,1,3,4,9,9,6,4
Manitoba,55.614438,-97.960389,7,11,8,8,13,10,12,1,9,16,10,13,6,5,7,16,18,20,16,5,10,6,1,1,4,4,2,4,5,0,8,6,21,11,19,13,11,10,6,5,2,9,9,4,12,6,10,4,5,3
Ontario,51.451405,-85.835963,62,79,115,64,45,78,98,35,45,64,71,100,114,44,31,75,68,112,158,152,79,34,27,18,29,27,25,55,47,24,27,40,55,109,59,103,166,77,44,61,127,103,109,70,74,84,117,78,68,93
Québec,52.03334,-72.765013,29,30,39,35,23,33,46,26,16,26,30,32,31,15,14,28,31,28,100,79,29,19,25,25,24,17,13,12,16,13,17,23,26,39,15,21,51,19,21,24,44,154,114,48,43,46,53,34,24,35
New Brunswick,46.595511,-66.334856,7,18,18,12,13,13,21,11,7,6,14,21,20,3,3,6,5,11,19,15,13,3,2,1,0,4,1,0,1,4,2,0,5,6,1,0,11,5,7,5,18,9,23,11,10,10,12,8,2,4
Prince Edward Island,46.196558,-62.735184,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,1,2,2,1,1,1,0,0,0,2,0,0,0
Nova Scotia,45.226989,-63.509537,11,13,13,17,18,18,15,6,13,9,7,9,12,5,7,5,8,18,19,39,13,9,17,9,4,11,16,12,13,18,4,11,10,22,11,13,50,31,49,79,49,58,102,47,35,43,25,17,9,7
Interprovincial,0,0,1,0,1,2,1,0,1,1,0,2,1,2,1,1,0,1,3,7,1,1,3,0,0,2,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,2,0,1,5,3,4,2,2
Total,0,0,129,170,230,143,133,188,229,96,117,154,167,240,233,98,86,167,217,298,427,458,204,119,98,74,95,84,75,106,102,74,92,131,146,222,153,185,340,170,148,192,265,409,434,217,211,237,271,168,139,183
